trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-87,-622.8518898116727,"{0: 63, 1: 13, 2: 17, 3: 4, 4: 10}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-100,-503.0738131587399,"{0: 75, 1: 16, 2: 16, 3: 8, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,10,-69.36387863700176,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,-100,-708.7792632562215,"{0: 68, 1: 18, 2: 32, 3: 4, 4: 8}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,-100,-982.7971824385692,"{0: 57, 1: 18, 2: 21, 3: 10, 4: 14}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,-100,-671.4439878204935,"{0: 71, 1: 13, 2: 21, 3: 5, 4: 10}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,-59,-419.09124132844454,"{0: 51, 1: 15, 2: 14, 3: 4, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,-98,-698.6646264119471,"{0: 67, 1: 15, 2: 21, 3: 5, 4: 10}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,-100,-644.4139242357256,"{0: 63, 1: 25, 2: 34, 3: 3, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,-100,-609.4037667249735,"{0: 79, 1: 15, 2: 21, 3: 8, 4: 7}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,-100,-717.0427488637248,"{0: 73, 1: 13, 2: 23, 3: 6, 4: 10}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-70,-479.4234939101634,"{0: 53, 1: 11, 2: 22, 3: 4, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,-100,-674.741666273321,"{0: 60, 1: 19, 2: 30, 3: 4, 4: 7}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,10,-73.03585992196867,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,-100,-727.4239430183694,"{0: 61, 1: 19, 2: 27, 3: 4, 4: 9}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,-43,-203.2146657297714,"{0: 41, 1: 8, 2: 10, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,-77,-470.62261909054314,"{0: 58, 1: 14, 2: 17, 3: 1, 4: 7}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,-100,-488.0669702850874,"{0: 77, 1: 14, 2: 26, 3: 3, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,-100,-569.8413220209912,"{0: 67, 1: 18, 2: 23, 3: 7, 4: 5}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,-58,-559.4283707537612,"{0: 40, 1: 10, 2: 17, 3: 2, 4: 9}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,-16,-140.41406998472334,"{0: 24, 1: 7, 2: 6, 3: 4, 4: 0}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,-13,-132.70413989983416,"{0: 21, 1: 6, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,-100,-609.8172897468942,"{0: 65, 1: 23, 2: 18, 3: 8, 4: 6}",0
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,-100,-734.836598460417,"{0: 66, 1: 20, 2: 25, 3: 4, 4: 10}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",25,-95,-396.20460612225855,"{0: 75, 1: 15, 2: 25, 3: 1, 4: 4}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,-100,-730.9498862908474,"{0: 70, 1: 18, 2: 16, 3: 3, 4: 13}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,-100,-537.9120321785914,"{0: 74, 1: 12, 2: 25, 3: 2, 4: 7}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,4,-45.38132650647774,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",20,-52,-376.7645365701338,"{0: 46, 1: 3, 2: 16, 3: 1, 4: 6}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",25,-71,-370.68235432524864,"{0: 59, 1: 10, 2: 20, 3: 4, 4: 3}",0
