trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.54382287279702,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.80995986566535,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-63.264707210335075,"{0: 24, 1: 4, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.54045566607545,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-243.17651559874255,"{0: 10, 1: 3, 2: 8, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.92235121622973,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.56795895038118,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.15820445404998,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-90.88675962150724,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.5378220202628,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.6114970753361,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.23912311753354,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.144893584497,"{0: 13, 1: 0, 2: 11, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,17,-9.642534755599746,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.32767812571888,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,3,-140.00441569070867,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 3}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-200.10287120072002,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.70812943177309,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.6305546381114,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-159.21879533902006,"{0: 22, 1: 1, 2: 2, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.54910599846045,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-193.09810782120144,"{0: 7, 1: 2, 2: 7, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-368.6190688090294,"{0: 15, 1: 3, 2: 9, 3: 2, 4: 6}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-95.38842646765269,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.07605231941805,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.20856051378111,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.890392913204074,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.8816430237612,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-191.9384071588163,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.59632794781896,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
